identifier,organism,kingdom
O35003,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P32152,Escherichia coli (strain K12),Bacteria
P95979,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),Archaea
P42507,Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003),Bacteria
P90953,Caenorhabditis elegans,Metazoa
Q05952,Homo sapiens,Metazoa
Q9JI57,Mus musculus,Metazoa
P39529,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P14707,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
O93257,Gallus gallus,Metazoa
P14083,Drosophila melanogaster,Metazoa
Q02991,Cochliobolus heterostrophus,Fungi
Q9HR31,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1),Archaea
P20313,Enterobacteria phage T3,Viruses
P21344,Bacillus subtilis (strain 168),Bacteria
P51979,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q24595,Drosophila melanogaster,Metazoa
Q52277,Escherichia coli,Bacteria
O31690,Bacillus subtilis (strain 168),Bacteria
Q04013,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P37376,Staphylococcus aureus,Bacteria
P19071,Escherichia coli,Bacteria
Q9PHE9,Xylella fastidiosa (strain 9a5c),Bacteria
Q9U1H0,Drosophila melanogaster,Metazoa
P03131,Odocoileus virginianus papillomavirus 1,Viruses
O85807,Serratia marcescens,Bacteria
Q9UHF7,Homo sapiens,Metazoa
P37549,Bacillus subtilis (strain 168),Bacteria
P09804,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
Q7VIU0,Helicobacter hepaticus (strain ATCC 51449 / 3B1),Bacteria
P0ACI8,Escherichia coli O157:H7,Bacteria
Q9VPH2,Drosophila melanogaster,Metazoa
P0ACT3,Escherichia coli O157:H7,Bacteria
P21681,Escherichia phage 186,Viruses
Q9JK30,Mus musculus,Metazoa
P43475,not found,
O43952,Tetrahymena thermophila,Protists
P03009,Escherichia coli,Bacteria
P13121,Escherichia phage P1,Viruses
P40267,Solanum pennellii,Viridiplantae
Q02283,Arabidopsis thaliana,Viridiplantae
Q9L6X9,Yersinia pestis,Bacteria
P42975,not found,
P38165,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q60275,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q92G55,Rickettsia conorii (strain ATCC VR-613 / Malish 7),Bacteria
P37246,not found,
Q38740,Antirrhinum majus,Viridiplantae
O75764,Homo sapiens,Metazoa
P51342,Porphyra purpurea,Protists
Q7M2P1,Sus scrofa,Metazoa
Q8KRZ2,Pseudomonas syringae,Bacteria
Q971T6,Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7),Archaea
P62604,Escherichia coli,Bacteria
P50831,Bacillus subtilis (strain 168),Bacteria
Q9DE13,Gallus gallus,Metazoa
Q18211,Caenorhabditis elegans,Metazoa
P31463,Escherichia coli (strain K12),Bacteria
P46372,Rhodococcus erythropolis,Bacteria
P05998,Enterobacteria phage phi80,Viruses
Q08792,Bacillus subtilis (strain 168),Bacteria
P52168,Drosophila melanogaster,Metazoa
O73673,Paralichthys olivaceus,Metazoa
P37195,Escherichia coli (strain K12),Bacteria
P24274,Glycine max,Viridiplantae
P12249,Bacillus thuringiensis subsp. berliner,Bacteria
Q04222,Comamonas testosteroni,Bacteria
Q8TD26,Homo sapiens,Metazoa
P0ACG0,Escherichia coli O157:H7,Bacteria
P19705,Escherichia coli,Bacteria
O86228,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q24533,Drosophila melanogaster,Metazoa
Q94819,Tetrahymena thermophila,Protists
P21657,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P28813,Escherichia phage P1,Viruses
P26398,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
P12551,Enterobacteria phage P4,Viruses
P49330,Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288),Bacteria
Q86B79,Drosophila melanogaster,Metazoa
P12954,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P25150,Bacillus subtilis (strain 168),Bacteria
P34205,Carassius auratus,Metazoa
Q99941,Homo sapiens,Metazoa
Q9BWW4,Homo sapiens,Metazoa
P09932,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9VGI8,Drosophila melanogaster,Metazoa
P25233,Mus musculus,Metazoa
P83183,Eledone cirrhosa,Metazoa
P32788,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q8TWK3,Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938),Archaea
P37459,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
P36417,Dictyostelium discoideum,Protists
P23799,Trypanosoma brucei brucei,Protists
Q9HJQ0,Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165),Archaea
P03254,Human adenovirus C serotype 2,Viruses
P44876,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P33634,Escherichia coli (strain K12),Bacteria
Q14191,Homo sapiens,Metazoa
P67434,not found,
P23179,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q09922,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q8TWM7,Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938),Archaea
P0AFW1,Escherichia coli O157:H7,Bacteria
Q09452,Caenorhabditis elegans,Metazoa
P28947,Equine herpesvirus 1 (strain Ab4p),Viruses
P23939,Bacillus amyloliquefaciens,Bacteria
Q9RP67,not found,
Q9U3V5,Drosophila melanogaster,Metazoa
P96708,Bacillus subtilis (strain 168),Bacteria
Q9Y6X0,Homo sapiens,Metazoa
Q19272,Caenorhabditis elegans,Metazoa
P70955,Bacillus subtilis (strain 168),Bacteria
P0A2S7,Shigella flexneri,Bacteria
P32432,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q06260,Escherichia phage P1,Viruses
P40408,Bacillus subtilis (strain 168),Bacteria
P34450,Caenorhabditis elegans,Metazoa
P07248,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9PLI1,Chlamydia muridarum (strain MoPn / Nigg),Bacteria
P0A583,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P14269,Human adenovirus C serotype 2,Viruses
P23464,not found,
P12876,not found,
P49309,Rhizobium meliloti,Bacteria
P62536,Escherichia coli,Bacteria
P17531,Myxococcus xanthus,Bacteria
P0A5A6,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
Q42430,Triticum aestivum,Viridiplantae
Q9KSW4,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),Bacteria
Q14805,not found,
O61764,Caenorhabditis elegans,Metazoa
Q9SMV7,Arabidopsis thaliana,Viridiplantae
Q8BUR3,Mus musculus,Metazoa
P03691,Enterobacteria phage T4,Viruses
O33817,Thauera aromatica,Bacteria
Q9C519,Arabidopsis thaliana,Viridiplantae
Q01856,Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.),Bacteria
P12899,Woodchuck hepatitis B virus (isolate 59),Viruses
P25545,Xanthobacter flavus,Bacteria
O83049,Treponema pallidum (strain Nichols),Bacteria
O75362,Homo sapiens,Metazoa
Q9KPI4,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),Bacteria
P11420,Drosophila melanogaster,Metazoa
P22516,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P33785,Escherichia coli,Bacteria
P25302,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P96440,Rhizobium meliloti (strain 1021),Bacteria
Q8TK90,Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A),Archaea
P55733,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
Q9S1G2,Rhizobium leguminosarum,Bacteria
P42505,Rhodobacter capsulatus,Bacteria
Q07635,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),Archaea
P03632,Escherichia phage G4,Viruses
P55265,Homo sapiens,Metazoa
P60008,Homo sapiens,Metazoa
Q9SZ67,Arabidopsis thaliana,Viridiplantae
Q44406,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320),Bacteria
P0ACH9,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P55109,Streptomyces griseus,Bacteria
Q00184,Escherichia coli,Bacteria
P40349,Ustilago maydis (strain 521 / FGSC 9021),Fungi
P41739,Rattus norvegicus,Metazoa
P11248,Rattus norvegicus,Metazoa
Q9XSK8,Chlorocebus aethiops,Metazoa
P0A9U6,Escherichia coli (strain K12),Bacteria
P74739,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P39389,Escherichia coli (strain K12),Bacteria
Q95153,Canis lupus familiaris,Metazoa
P54717,Bacillus subtilis (strain 168),Bacteria
Q9SVB7,Arabidopsis thaliana,Viridiplantae
P10238,Human herpesvirus 1 (strain 17),Viruses
P03128,Odocoileus virginianus papillomavirus 1,Viruses
O93745,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),Archaea
Q9L1A5,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P19782,Bos taurus,Metazoa
P55615,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
O07458,Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009),Bacteria
P74397,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
Q9Z3Q6,Rhizobium meliloti (strain 1021),Bacteria
Q8X835,Escherichia coli O157:H7,Bacteria
Q87QP4,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),Bacteria
Q9RZ89,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),Bacteria
Q86V15,Homo sapiens,Metazoa
O00841,Dictyostelium discoideum,Protists
P04892,Salmonella phage P22,Viruses
P43474,not found,
Q00462,Microchaete diplosiphon,Bacteria
P11978,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P52659,Streptomyces antibioticus,Bacteria
O61735,Drosophila melanogaster,Metazoa
Q01371,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
Q09821,Sus scrofa,Metazoa
P0A9F5,Escherichia coli O157:H7,Bacteria
Q98PK2,Mycoplasmopsis pulmonis (strain UAB CTIP),Bacteria
P03837,not found,
P46117,Providencia stuartii,Bacteria
P41846,Caenorhabditis elegans,Metazoa
Q8R5U7,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),Bacteria
P03008,Escherichia coli,Bacteria
Q9HB58,Homo sapiens,Metazoa
P27871,Paenibacillus polymyxa,Bacteria
Q99MT2,Mus musculus,Metazoa
P20482,Drosophila melanogaster,Metazoa
Q00265,Daucus carota,Viridiplantae
O51157,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
Q8R9V5,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),Bacteria
Q99160,Yarrowia lipolytica (strain CLIB 122 / E 150),Fungi
Q01473,Microchaete diplosiphon,Bacteria
Q19196,Caenorhabditis elegans,Metazoa
P0AEU9,Escherichia coli O157:H7,Bacteria
Q92610,Homo sapiens,Metazoa
P39356,Escherichia coli (strain K12),Bacteria
P52698,Ralstonia nicotianae (strain ATCC BAA-1114 / GMI1000),Bacteria
Q8EWT6,Malacoplasma penetrans (strain HF-2),Bacteria
P13055,Drosophila melanogaster,Metazoa
Q9NRY4,Homo sapiens,Metazoa
P25921,Staphylococcus aureus,Bacteria
P47347,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
Q06126,Bordetella parapertussis,Bacteria
P75542,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
P15330,Drosophila melanogaster,Metazoa
P37956,Bacillus subtilis (strain 168),Bacteria
P39736,Drosophila melanogaster,Metazoa
P59697,Salmonella typhi,Bacteria
O83149,Treponema pallidum (strain Nichols),Bacteria
Q9UNN4,Homo sapiens,Metazoa
O97764,Bos taurus,Metazoa
P06022,Escherichia phage Mu,Viruses
Q88X36,Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1),Bacteria
P39970,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P43016,Salmonella typhi,Bacteria
P45187,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9H2P0,Homo sapiens,Metazoa
Q06163,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O17582,Caenorhabditis elegans,Metazoa
P13975,Escherichia coli,Bacteria
P40396,Bacillus subtilis (strain 168),Bacteria
Q87L49,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),Bacteria
P27902,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P15238,Rhizobium phage 16-3,Viruses
P0A3J5,Aeromonas hydrophila,Bacteria
Q58793,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O32255,Bacillus subtilis (strain 168),Bacteria
Q7V7T9,Prochlorococcus marinus (strain MIT 9313),Bacteria
P24536,Burkholderia cepacia,Bacteria
Q7V1D3,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),Bacteria
P22404,Streptomyces lividans,Bacteria
P25992,Drosophila melanogaster,Metazoa
Q8T0D4,Drosophila melanogaster,Metazoa
O32138,Bacillus subtilis (strain 168),Bacteria
P21969,Fowlpox virus (strain NVSL),Viruses
Q9WX14,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P22876,Saccharopolyspora erythraea,Bacteria
Q58183,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q09244,Caenorhabditis elegans,Metazoa
P51871,Rattus norvegicus,Metazoa
Q92I62,Rickettsia conorii (strain ATCC VR-613 / Malish 7),Bacteria
Q9UKJ3,Homo sapiens,Metazoa
Q9S3U8,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757),Bacteria
O57595,Takifugu rubripes,Metazoa
P32522,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P57402,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS),Bacteria
Q9VMC8,Drosophila melanogaster,Metazoa
P39609,Bacillus subtilis (strain 168),Bacteria
Q9JMT9,Escherichia coli (strain K12),Bacteria
Q13571,Homo sapiens,Metazoa
P14301,Rhodospirillum rubrum,Bacteria
P64571,Escherichia coli O157:H7,Bacteria
P43938,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P42603,Escherichia coli (strain K12),Bacteria
O29347,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P57189,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS),Bacteria
P38838,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q58345,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P16090,Feline immunodeficiency virus (isolate Petaluma),Viruses
P36089,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O66398,Aquifex aeolicus (strain VF5),Bacteria
Q05294,Mycobacterium phage L5,Viruses
P26334,Trypanosoma brucei brucei,Protists
O28146,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q9T1T3,Acyrthosiphon pisum secondary endosymbiont phage 1,Viruses
Q7VRV7,Blochmanniella floridana,Bacteria
O83389,Treponema pallidum (strain Nichols),Bacteria
P09806,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
Q9NQ90,Homo sapiens,Metazoa
Q88QJ8,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),Bacteria
Q834L8,Enterococcus faecalis (strain ATCC 700802 / V583),Bacteria
P40819,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
Q57958,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O96790,Dipetalogaster maximus,Metazoa
P40007,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32343,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P46481,Escherichia coli (strain K12),Bacteria
Q40255,Linum usitatissimum,Viridiplantae
Q57584,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O83792,Treponema pallidum (strain Nichols),Bacteria
P34273,Caenorhabditis elegans,Metazoa
P28903,Escherichia coli (strain K12),Bacteria
P31436,Escherichia coli (strain K12),Bacteria
P47004,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P30974,Drosophila melanogaster,Metazoa
P11556,not found,
O66516,Aquifex aeolicus (strain VF5),Bacteria
P45130,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q09338,Caenorhabditis elegans,Metazoa
P29705,Propionigenium modestum,Bacteria
P32459,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P07386,Myxococcus xanthus,Bacteria
Q57921,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P19807,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q57711,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P55519,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P28640,Pisum sativum,Viridiplantae
P42720,Rhizobium leguminosarum bv. trifolii,Bacteria
Q50434,not found,
O31697,Bacillus subtilis (strain 168),Bacteria
Q9W6S5,Xenopus laevis,Metazoa
O07827,Porphyromonas gingivalis (strain ATCC BAA-308 / W83),Bacteria
Q58144,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O75161,Homo sapiens,Metazoa
P19369,Aeromonas hydrophila,Bacteria
P96335,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q21770,Caenorhabditis elegans,Metazoa
Q92JH6,Rickettsia conorii (strain ATCC VR-613 / Malish 7),Bacteria
Q9T1W6,Escherichia phage Mu,Viruses
Q8K482,Mus musculus,Metazoa
P96592,not found,
Q9UJT0,Homo sapiens,Metazoa
P22754,Bacillus licheniformis,Bacteria
P34480,Caenorhabditis elegans,Metazoa
P20745,Fowl adenovirus A serotype 1 (strain CELO / Phelps),Viruses
P76035,Escherichia coli (strain K12),Bacteria
P58216,Escherichia coli O157:H7,Bacteria
P29784,Streptomyces griseus,Bacteria
Q04304,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q57805,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P50089,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q8KA58,Buchnera aphidicola subsp. Schizaphis graminum (strain Sg),Bacteria
P77504,Escherichia coli (strain K12),Bacteria
Q9H579,Homo sapiens,Metazoa
Q9ZE59,Rickettsia prowazekii (strain Madrid E),Bacteria
Q57668,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P53736,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O31829,Bacillus subtilis (strain 168),Bacteria
P77493,Escherichia coli (strain K12),Bacteria
P29675,Helianthus annuus,Viridiplantae
P15921,Rickettsia rickettsii,Bacteria
P45017,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9C0B5,Homo sapiens,Metazoa
P44192,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q7UZM7,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),Bacteria
P47171,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9ZDA9,Rickettsia prowazekii (strain Madrid E),Bacteria
P34494,Caenorhabditis elegans,Metazoa
Q27906,Riptortus clavatus,Metazoa
O74419,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q09435,Caenorhabditis elegans,Metazoa
P47653,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
Q10138,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q24371,Drosophila melanogaster,Metazoa
P58722,Yersinia pestis,Bacteria
Q05594,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
O66525,Aquifex aeolicus (strain VF5),Bacteria
P44554,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P0A312,Lactococcus lactis subsp. lactis,Bacteria
Q9BV73,Homo sapiens,Metazoa
Q9PR33,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
Q9BQ92,not found,
Q9NS93,Homo sapiens,Metazoa
O51124,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
O10360,Orgyia pseudotsugata multicapsid polyhedrosis virus,Viruses
Q8KGC5,Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS),Bacteria
Q15332,Homo sapiens,Metazoa
O83671,Treponema pallidum (strain Nichols),Bacteria
Q9ER80,Mus musculus,Metazoa
Q9Y6V0,Homo sapiens,Metazoa
O93852,Candida albicans (strain SC5314 / ATCC MYA-2876),Fungi
O67169,Aquifex aeolicus (strain VF5),Bacteria
Q00686,Citrus tristeza virus (isolate T36),Viruses
Q04399,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P34441,Caenorhabditis elegans,Metazoa
Q45537,Bacillus subtilis (strain 168),Bacteria
Q91448,Serinus canaria,Metazoa
O66616,Aquifex aeolicus (strain VF5),Bacteria
Q00158,Ictalurid herpesvirus 1 (strain Auburn),Viruses
P54587,Bacillus subtilis (strain 168),Bacteria
Q86DC6,Caenorhabditis elegans,Metazoa
O28640,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q10167,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
O67910,Aquifex aeolicus (strain VF5),Bacteria
O28675,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P14715,Ipomoea batatas,Viridiplantae
Q9ZCX8,Rickettsia prowazekii (strain Madrid E),Bacteria
P92553,Arabidopsis thaliana,Viridiplantae
P34380,Caenorhabditis elegans,Metazoa
P42251,Bacillus subtilis (strain 168),Bacteria
Q8NXQ5,Staphylococcus aureus (strain MW2),Bacteria
Q9UHP9,Homo sapiens,Metazoa
P82634,Arabidopsis thaliana,Viridiplantae
Q99222,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q00166,Ictalurid herpesvirus 1 (strain Auburn),Viruses
Q96NJ5,Homo sapiens,Metazoa
P23689,Human adenovirus F serotype 41,Viruses
Q10340,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P53216,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O94903,Homo sapiens,Metazoa
P40820,Escherichia phage P1,Viruses
P20658,Cavia porcellus,Metazoa
O13705,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q9ZKA2,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
Q8X1E6,Candida albicans (strain SC5314 / ATCC MYA-2876),Fungi
O51240,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
P33694,Rhizobium meliloti (strain 1021),Bacteria
Q89AX2,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
Q58495,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O82368,Arabidopsis thaliana,Viridiplantae
P34595,Caenorhabditis elegans,Metazoa
P40508,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q32065,Chlamydomonas reinhardtii,Viridiplantae
P06716,Escherichia coli,Bacteria
P17533,Mus musculus,Metazoa
P64789,not found,
P08740,Chlamydomonas reinhardtii,Viridiplantae
P14044,Trypanosoma brucei brucei,Protists
P75551,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
Q09501,Caenorhabditis elegans,Metazoa
O34162,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337),Bacteria
P22931,Infectious pancreatic necrosis virus (strain Jasper),Viruses
Q03496,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32280,Enterobacteria phage T4,Viruses
O06719,Bacillus subtilis (strain 168),Bacteria
P13335,Enterobacteria phage T4,Viruses
Q24238,Drosophila melanogaster,Metazoa
P16763,Human cytomegalovirus (strain AD169),Viruses
P27739,Apple chlorotic leaf spot virus (isolate plum P863),Viruses
Q9RN13,Bacillus anthracis,Bacteria
P16909,Drosophila melanogaster,Metazoa
P15579,Paramecium tetraurelia,Protists
P41422,Autographa californica nuclear polyhedrosis virus,Viruses
Q9PJW3,Chlamydia muridarum (strain MoPn / Nigg),Bacteria
Q8ZBM3,Yersinia pestis,Bacteria
Q9Z1E4,Mus musculus,Metazoa
P10579,Zea mays,Viridiplantae
P16826,Human cytomegalovirus (strain AD169),Viruses
P21057,Vaccinia virus (strain Copenhagen),Viruses
Q9Y6J8,Homo sapiens,Metazoa
P22251,Campylobacter jejuni subsp. jejuni serotype O:6 (strain 81116 / NCTC 11828),Bacteria
P11870,Suid herpesvirus 1 (strain Indiana-Funkhauser / Becker),Viruses
Q9PW19,Bungarus multicinctus,Metazoa
P47352,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
P89029,Orgyia pseudotsugata multicapsid polyhedrosis virus,Viruses
Q9V6G5,Drosophila melanogaster,Metazoa
P47042,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O27318,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),Archaea
